X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4	Vyaw	Vpitch	Vroll
-0,05143345	0,5102461	0,06683152	-129,7578	-3,218092	55,86053	0,3111111	0	0	0	0	50	50	50	50	4,815151515	5,779484848	-74,94333333
-0,0532038	0,5104454	0,06751917	-129,5415	-2,931721	54,34066	0,3155555	0	0	0	0	50	50	50	50	-8,066666667	6,122606061	-84,80393939
-0,05449703	0,5116448	0,06745878	-130,024	-3,016046	53,062	0,3244444	0	0	0	0	50	50	50	50	-16,77878788	-1,793545455	-89,23
-0,05583132	0,5124792	0,06789724	-130,0952	-2,990908	51,39607	0,3288889	0	0	0	0	50	50	50	50	6,212121212	5,926060606	-100,1493939
-0,05784388	0,5135494	0,06823	-129,819	-2,820486	49,75707	0,3288889	0	0	0	0	50	50	50	50	15,75757576	3,670060606	-99,51090909
-0,05965204	0,5149206	0,06841561	-129,5752	-2,869796	48,11221	0,3377778	0	0	0	0	50	50	50	50	13,36060606	-4,779242424	-104,5545455
-0,06124477	0,5162674	0,06874511	-129,3781	-2,978201	46,30677	0,3377778	0	0	0	0	50	50	50	50	9,663636364	-5,586636364	-114,4021212
-0,06278579	0,5176576	0,06907097	-129,2563	-3,054155	44,33694	0,3377778	0	0	0	0	50	50	50	50	14,3	11,76890909	-117,2512121
-0,06440183	0,5196218	0,06946128	-128,9062	-2,589827	42,43748	0,3377778	0	0	0	0	50	50	50	50	13,22727273	8,54569697	-126,3360606
-0,06542084	0,5206128	0,06925276	-128,8198	-2,772147	40,16785	0,3422222	0	0	0	0	50	50	50	50	7,157575758	2,453969697	-124,0445455
-0,06706929	0,5222759	0,06964301	-128,67	-2,508846	38,34401	0,3422222	0	0	0	0	50	50	50	50	2,490909091	5,035454545	-122,2733333
-0,06854114	0,5240537	0,06963777	-128,7376	-2,605977	36,13283	0,3377778	0	0	0	0	50	50	50	50	-3,660606061	5,744666667	-94,88969697
-0,06885957	0,525218	0,06987943	-128,7908	-2,319272	35,21265	0,3377778	0	0	0	0	50	50	50	50	-6,184848485	-3,379818182	-95,63090909
-0,07029559	0,5264028	0,07040089	-128,9417	-2,717511	32,97701	0,3422222	0	0	0	0	50	50	50	50	-9,172727273	-12,90875758	-178,1612121
-0,07249602	0,5288512	0,0712302	-129,0935	-2,745261	29,33333	0,3422222	0,2551557	0,3422222	0,4292887	0,3422222	70	77	84	77	-10,26060606	-0,591787879	-175,3748485
-0,07456165	0,5293702	0,07226431	-129,2803	-2,73704	27,18964	0,3377778	0,3023964	0,3377778	0,3731592	0,3377778	74	77	79	77	-12,53636364	-5,677909091	-146,7624242
-0,07665302	0,5300031	0,07316739	-129,5072	-2,932632	24,49017	0,3377778	0,3532721	0,3377778	0,3222834	0,3377778	78	77	75	77	-12,91212121	-11,65139394	-160,5427273
-0,07814316	0,5307679	0,07435603	-129,7064	-3,121536	21,89173	0,3377778	0,3917919	0,3377778	0,2837636	0,3377778	81	77	72	77	-3,127272727	-9,921060606	-161,5027273
-0,07999621	0,5312262	0,07574055	-129,6104	-3,260027	19,16058	0,3377778	0,4222808	0,3377778	0,2532748	0,3377778	83	77	70	77	1,048484848	-8,170757576	-154,8906061
-0,081812	0,5309707	0,07806658	-129,6718	-3,391171	16,78034	0,3377778	0,4400255	0,3377778	0,23553	0,3377778	85	77	68	77	-6,978787879	-11,8949697	-149,3063636
-0,08393614	0,5306944	0,08030109	-129,8407	-3,652561	14,23347	0,3377778	0,4782578	0,3377778	0,1972977	0,3377778	88	77	65	77	-17,71818182	-12,33566667	-117,1030303
-0,08508433	0,5304046	0,08165564	-130,2565	-3,798248	12,91594	0,3377778	0,5200424	0,3377778	0,1555131	0,3377778	91	77	62	77	-11,46666667	-13,79769697	-114,0245455
-0,08695265	0,5301114	0,08303969	-130,2191	-4,107885	10,47066	0,3422222	0,5136269	0,3422222	0,1708175	0,3422222	91	77	63	77	-5,621212121	-10,94336364	-139,168697
-0,08931582	0,5295938	0,08526598	-130,442	-4,159379	8,323373	0,3377778	0,5178103	0,3377778	0,1577452	0,3377778	91	77	62	77	-13,23939394	-5,217272727	-128,9402424
-0,09194637	0,5289209	0,08677689	-130,656	-4,280055	6,215632	0,3377778	0,5252792	0,3377778	0,1502763	0,3377778	92	77	62	77	-28,48181818	0,052878788	-123,0365152
-0,09454132	0,5283064	0,08898629	-131,3819	-4,157634	4,263168	0,3422222	0,5944055	0,3422222	0,09003887	0,3422222	97	77	57	77	-38,16060606	6,255878788	-116,7419394
-0,09768309	0,5276102	0,09101283	-131,9153	-4,073611	2,363148	0,3377778	0,6267433	0,3377778	0,04881227	0,3377778	100	77	53	77	-38,03333333	2,891393939	-109,7709727
-0,100475	0,5274286	0,0929549	-132,637	-4,062218	0,6407259	0,3377778	0,6894403	0,3377778	0	0,3377778	105	77	50	77	-39,70606061	-1,380363636	-104,1106667
-0,1035483	0,5274864	0,09478369	-133,2256	-4,119163	-1,072504	0,3377778	0,7716014	0,3377778	0	0,3377778	111	77	50	77	-29,19090909	8,968818182	-96,55172424
-0,1063616	0,5270121	0,09697451	-133,6003	-3,766247	-2,545481	0,3422222	0,8136392	0,3422222	0	0,3422222	115	77	50	77	-18,25454545	6,755909091	-87,13160606
-0,1093183	0,5267549	0,0988642	-133,828	-3,896218	-3,947847	0,3377778	0,8162571	0,3377778	0	0,3377778	115	77	50	77	0,151515152	4,621575758	-86,07806061
-0,1110435	0,5267985	0,1000819	-133,5953	-3,613735	-5,386057	0,3377778	0,73843	0,3377778	0	0,3377778	109	77	50	77	20,62727273	7,550333333	-65,3810303
-0,1131475	0,5274267	0,1018345	-133,1473	-3,647057	-6,105421	0,3377778	0,6891546	0,3377778	0	0,3377778	105	77	50	77	21,97575758	12,16160606	-37,69909091
-0,1141647	0,5278285	0,1026526	-132,8701	-3,212402	-6,630127	0,3377778	0,6291493	0,3377778	0,04640624	0,3377778	100	77	53	77	12,57575758	19,88160606	-14,55451515
-0,1149904	0,5290837	0,1027839	-132,7323	-2,990964	-6,58572	0,3377778	0,5869344	0,3377778	0,08862114	0,3377778	96	77	57	77	0,803030303	14,23612121	29,5419697
-0,1156095	0,5302123	0,1032528	-132,8436	-2,74261	-5,655242	0,3377778	0,5131906	0,3377778	0,1623649	0,3377778	91	77	62	77	-10,5	19,79721212	66,32066667
-0,1154793	0,5313424	0,1021939	-133,0788	-2,337656	-4,397138	0,3377778	0,4773954	0,3377778	0,1981601	0,3377778	88	77	65	77	-25,8969697	6,457909091	94,14033333
-0,1158022	0,5333133	0,1012338	-133,6982	-2,529499	-2,548611	0,3377778	0,4651292	0,3377778	0,2104263	0,3377778	87	77	66	77	-40,11515152	-4,710090909	104,4826515
