X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
0,01939894	0,5773683	-0,1273712	51,78916	3,160311	0,03153566	0	0	0,03128775	0,044826	0	0	0	0	0
0,01932572	0,5774058	-0,1273982	51,78439	3,126688	0,0459832	0	0	0,03080705	0,04274781	0	0	0	0	0
0,01926032	0,577455	-0,1274103	51,76287	3,10662	0,02997601	0	0	0,03076644	0,04037565	0	0	0	0	0
0,01925588	0,5774823	-0,1274205	51,75179	3,096601	0,0114943	0	0	0,03085107	0,04104783	0	0	0	0	0
0,01926337	0,5775284	-0,127462	51,74247	3,094874	-0,01431109	0	0	0,03109185	0,04339502	0	0	0	0	0
0,01922438	0,5775845	-0,127495	51,73209	3,088265	-0,03935121	0	0	0,03127616	0,04297187	0	0	0	0	0
0,0192032	0,5776514	-0,1275735	51,73478	3,067263	-0,06544464	0	0	0,03132707	0,04600326	0	0	0	0	0
0,01924256	0,5777528	-0,1276493	51,7377	3,028515	-0,09979618	0	0	0,03128311	0,03682288	0	0	0	0	0
0,01921326	0,5778355	-0,1277105	51,70777	2,996803	-0,1192959	0	0	0,03116098	0,02684468	0	0	0	0	0
0,01916521	0,5779185	-0,1277642	51,66894	2,964865	-0,1164911	0	0	0,03081356	0,01633792	0	0	0	0	0
0,01913187	0,5779921	-0,1278105	51,65084	2,934242	-0,1169062	0	0	0,03051148	0,01157488	0	0	0	0	0
0,0191132	0,5780593	-0,1278605	51,65755	2,92269	-0,09797765	0	0	0,03020668	0,01302697	0	0	0	0	0
0,019141	0,5781277	-0,127934	51,69337	2,922123	-0,08191978	0	0	0,03004043	0,02006206	0	0	0	0	0
0,01916091	0,5781692	-0,1280248	51,74411	2,920796	-0,07006946	0	0	0,02990866	0,02758625	0	0	0	0	0
0,01919307	0,5782143	-0,1281171	51,77772	2,895297	-0,04194777	0	0	0,02937244	0,03276367	0	0	0	0	0
0,01925128	0,5782773	-0,1281286	51,73743	2,869363	0,0165269	0	0	0,02852836	0,0294993	0	0	0	0	0
0,01912298	0,5782615	-0,1281885	51,74026	2,872075	0,0305638	0	0	0,02841511	0,02968419	0	0	0	0	0
0,01928474	0,5783467	-0,1281392	51,68973	2,881309	0,07985178	0	0	0,02801457	0,02385478	0	0	0	0	0
0,01937048	0,5783391	-0,1281685	51,71049	2,877737	0,06886134	0	0	0,02808875	0,02979328	0	0	0	0	0
0,01947035	0,5783486	-0,1281779	51,75635	2,896676	0,04559682	0	0	0,02851079	0,03991144	0	0	0	0	0
